Organización política,Candidatos >> Candidato presidencial,Candidatos >> Cargos públicos ejercidos por el candidato,Candidatos >> Hoja de vida,Candidatos >> Lema de campaña,Candidatos >> PDG,Candidatos >> 1.er vicepresidente,Candidatos >> 2.o vicepresidente
Acción Popular,Yonhy Lescano62 añosAbogado,Congresista de la República del Perú por Puno (2001-2011)Congresista de la República del Perú por Lima Metropolitana (2011-2019),1,Cruzada por la democracia#ContagiandoEsperanza,[1],Gisela Tipe,Alberto Velarde
Alianza para el Progreso,César Acuña68 añosEmpresario,Congresista de la República del Perú por Distrito único (2000-2001)Congresista de la República del Perú por La Libertad (2001-2006)Alcalde provincial de Trujillo (2007-2014)Gobernador de La Libertad (2015),2,Un cambio con rumbo,[2],Carmen Omonte,Luis Iberico
Avanza País,Hernando de Soto79 añosEconomista,Director del Banco Central de Reserva del Perú (1978-1980)Presidente del Instituto Libertad y Democracia (1979-presente),3,Hernando Si Sabe¡Que haría yo si tuviera capital!,[3],Corinne Flores,Jaime Salomón
Democracia Directa,Andrés Alcántara61 añosAbogado,Presidente de la Asociación de Fonavistas del Pueblo del Perú (1999-presente),4,Hagamos historia Perú,[4],Elena Ascarza,Javier Espinoza
Frente Amplio,Marco Arana58 añosSociólogo,Congresista de la República del Perú por Cajamarca (2016-2020),5,Por un Perú mejor,[5],Leyla Berrocal,Magno Ortega
Fuerza Popular,Keiko Fujimori45 añosAdministradora de empresas,Primera dama de la República del Perú (1994-2000)Congresista de la República del Perú por Lima Metropolitana (2006-2011),6,Un cambio hacia adelante.​​,[6],Luis Galarreta,Patricia Juárez
Juntos por el Perú,Verónika Mendoza40 añosPsicóloga,Congresista de la República del Perú por Cusco (2011-2016),7,#VamosACambiarloTodo,[7],José De Echave,Luzmila Ayay
Partido Morado,Julio Guzmán50 añosEconomista,Viceministro de MYPE e Industria (2011)Secretario General de la Presidencia de Consejo de Ministros del Perú (2012-2013),8,#TuAlCentro,[8],Flor Pablo,Ninguno​
Partido Nacionalista Peruano,Ollanta Humala58 añosExmilitar,Presidente de la República del Perú (2011-2016)Presidente pro tempore de la Unión de Naciones Suramericanas (2012-2013)Presidente pro tempore de la Alianza del Pacífico (2015-2016),9,Futuro Seguro,[9],Ana María Salinas,Alberto Otárola
Partido Popular Cristiano,Alberto Beingolea56 añosAbogado,Congresista de la República del Perú por Lima Metropolitana (2011-2016),10,Beingolea Presidente 2021,[10],Lucía Ledesma,David Vera Trujillo
Perú Libre,Pedro Castillo51 añosProfesor,Presidente del Comité de Lucha de las bases regionales del SUTEP (2017),11,¡No más pobres en un país rico! Palabra de maestro.​,[11],Dina Boluarte,Ninguno​
Perú Patria Segura,Rafael Santos52 añosEmpresario,Alcalde de Pueblo Libre (2007-2014),12,#SantosPresidente#Santos2021,[12],Victoria Paredes,Andrés Reggiardo
Podemos Perú,Daniel Urresti64 añosExmilitar,Ministro del Interior del Perú (2014-2015)Congresista de la República del Perú por Lima Metropolitana (2020-presente),13,Todos Juntos Lo Podemos Todo,[13],María Teresa Cabrera,Wilbert Portugal
Renacimiento Unido Nacional,Ciro Gálvez72 añosAbogado,Notario Público de Junín (1985-presente),14,Ciro Gálvez es diferente,[14],Sonia García,Claudio Zolla
Renovación Popular,Rafael López Aliaga60 añosEmpresario,Regidor de la Municipalidad Metropolitana de Lima (2007-2010),15,,[15],Neldy Mendoza,Jorge Montoya
Somos Perú,Daniel Salaverry48 añosEmpresario,Regidor provincial de Trujillo (2007-2014)Congresista de la República del Perú por La Libertad (2016-2019)Presidente del Congreso de la República del Perú (2018-2019),16,,[16],Matilde Fernández,Jorge Pérez
Unión por el Perú,José Vega63 añosSindicalista,Congresista de la República del Perú por Lima Metropolitana (2020-presente),17,#VegaPresidente,[17],Haydeé Andrade,Daniel Barragán
Victoria Nacional,George Forsyth38 añosExfutbolista,Regidor de La Victoria (2011-2014)Alcalde de La Victoria (2019-2020),18,#TodosConForzay#MenosFloroMasAccion,[18],Patricia Arévalo,Jorge Chávez Álvarez
